Player,Age,Team,Pos,GP,G,A,PTS,PlusMin,PS,S,TOI,BLK,HIT
Nate Thompson,37,PHI,C,33,1,2,3,-15,-0.7,23,395,20,49
Tage Thompson,24,BUF,C,78,38,30,68,-17,7.7,253,1395,25,66
Tyce Thompson,22,NJD,RW,2,0,0,0,0,0,3,29,0,2
Lassi Thomson,21,OTT,D,16,0,5,5,-8,0.3,18,276,9,23
Joe Thornton,42,FLA,C,34,5,5,10,-10,0.3,26,378,10,20
Chris Tierney,27,OTT,C,70,6,12,18,-12,0.7,72,869,30,42
Conor Timmins,23,ARI,D,6,0,0,0,-6,-0.3,5,106,9,7
Jarred Tinordi,29,NYR,D,7,1,0,1,-5,-0.1,5,90,8,17
Owen Tippett,22,TOT,RW,63,10,11,21,-2,1.3,126,846,16,98
Vladimir Tkachev,26,LAK,F,4,0,2,2,-2,0,1,56,0,1
Brady Tkachuk,22,OTT,LW,79,30,37,67,-7,7.1,288,1485,25,270
Matthew Tkachuk,24,CGY,LW,82,42,62,104,57,13.7,253,1468,20,93
Devon Toews,27,COL,D,66,13,44,57,52,11.2,158,1674,85,54
Jonathan Toews,33,CHI,C,71,12,25,37,-14,2.4,125,1241,22,25
Tyler Toffoli,29,TOT,C,74,20,29,49,-5,4.5,195,1206,24,81
Eeli Tolvanen,22,NSH,RW,75,11,12,23,-7,1.3,151,1007,45,176
Philip Tomasino,20,NSH,C,76,11,21,32,2,2.7,111,877,28,49
Dominic Toninato,27,WPG,C,77,7,7,14,1,1,44,647,32,92
Alexey Toropchenko,22,STL,RW,28,2,0,2,-9,-0.5,43,300,21,69
Brayden Tracey,20,ANA,LW,1,0,0,0,-1,-0.1,1,9,0,0
Yakov Trenin,25,NSH,C,80,17,7,24,7,2.2,136,1173,33,191
Vincent Trocheck,28,CAR,C,81,21,30,51,21,5.3,168,1448,46,185
Jacob Trouba,27,NYR,D,81,11,28,39,25,8.9,204,1817,177,207
Alexander True,24,SEA,F,8,0,0,0,-2,-0.2,6,66,2,22
Alex Tuch,25,BUF,RW,50,12,26,38,-3,3.4,139,920,49,32
Riley Tufte,23,DAL,LW,10,1,0,1,0,0.1,5,72,4,9
Alex Turcotte,20,LAK,C,8,0,0,0,0,-0.1,13,90,2,8
Kyle Turris,32,EDM,C,23,1,3,4,-5,-0.1,21,198,6,13
T.J. Tynan,29,LAK,C,2,0,0,0,0,0,3,22,2,1
Urho Vaakanainen,23,TOT,D,29,0,6,6,-5,0.9,27,560,28,27
Juuso Valimaki,23,CGY,D,9,0,2,2,0,0.3,11,141,9,8
James van Riemsdyk,32,PHI,LW,82,24,14,38,-33,2.9,186,1321,25,34
Trevor van Riemsdyk,30,WSH,D,72,1,16,17,-3,2.5,75,1258,129,25
Frank Vatrano,27,TOT,LW,71,18,14,32,4,3.2,161,934,26,68
Mike Vecchione,28,WSH,RW,1,0,0,0,-1,0,3,5,0,0
Lukas Vejdemo,26,MTL,C,6,1,0,1,-3,0,10,64,4,7
Joe Veleno,22,DET,C,66,8,7,15,-14,0.3,73,872,25,123
Carter Verhaeghe,26,FLA,C,78,24,31,55,24,5.8,167,1252,16,50
Kristian Vesalainen,22,WPG,W,53,2,1,3,-8,-0.6,43,460,14,72
Jimmy Vesey,28,NJD,LW,68,8,7,15,-24,-0.3,110,981,29,85
Jeffrey Viel,25,SJS,F,34,3,2,5,-2,0.3,30,299,11,84
Gabriel Vilardi,22,LAK,C,25,5,2,7,-5,0.5,41,338,9,6
Alex Vlasic,20,CHI,D,15,1,1,2,-2,0.4,12,215,16,15
Marc-Edouard Vlasic,34,SJS,D,75,3,11,14,-22,1.9,63,1141,90,54
Jakub Voracek,32,CBJ,RW,79,6,56,62,-13,3.7,147,1379,28,27
Jakub Vrana,25,DET,LW,26,13,6,19,-8,2.2,65,388,9,14
Chris Wagner,30,BOS,C,1,0,0,0,-1,-0.1,2,16,0,11
Oliver Wahlstrom,21,NYI,RW,73,13,11,24,-6,2.2,157,880,19,101
Nathan Walker,27,STL,C,30,8,4,12,1,1.3,38,346,22,58
Sean Walker,27,LAK,D,6,0,2,2,-1,0.2,18,110,9,9
Jake Walman,25,TOT,D,51,3,7,10,-3,1.5,87,715,58,47
Reilly Walsh,22,NJD,D,1,0,1,1,0,0.1,2,14,2,0
Austin Watson,30,OTT,LW,67,10,6,16,-3,1.3,88,803,63,213
Jasper Weatherby,24,SJS,C,50,5,6,11,-14,0.3,45,562,24,52
MacKenzie Weegar,28,FLA,D,80,8,36,44,40,7.7,203,1870,156,179
Alexander Wennberg,27,SEA,C,80,11,26,37,-26,1.6,95,1428,44,47
Zach Werenski,24,CBJ,D,68,11,37,48,-15,5.7,216,1745,95,33
Blake Wheeler,35,WPG,RW,65,17,43,60,-15,4.8,167,1270,37,62
Colin White,25,OTT,C,24,3,7,10,-11,0.3,47,368,4,28
Colton White,24,NJD,D,27,0,4,4,2,0.9,18,358,14,24
Zach Whitecloud,25,VEG,D,59,8,11,19,21,5,94,1109,115,98
Chris Wideman,32,MTL,D,64,4,23,27,-25,1.9,76,952,46,44
Maxwell Willman,26,PHI,C,41,4,2,6,-13,-0.2,65,483,10,53
Tom Wilson,27,WSH,RW,78,24,28,52,13,5.5,151,1449,55,240
Luke Witkowski,31,DET,D,1,0,0,0,0,0,0,9,0,1
Christian Wolanin,26,TOT,D,9,1,1,2,-1,0.4,5,132,13,5
Miles Wood,26,NJD,LW,3,0,0,0,-2,-0.1,2,44,1,5
Kailer Yamamoto,23,EDM,RW,81,20,21,41,-1,3.4,114,1367,36,114
Keith Yandle,35,PHI,D,77,1,18,19,-47,-0.4,105,1076,40,29
Jesse Ylönen,22,MTL,RW,14,2,3,5,2,0.5,16,162,4,5
Cameron York,21,PHI,D,30,3,7,10,-14,0.8,33,572,40,20
Pavel Zacha,24,NJD,C,70,15,21,36,-21,2.2,148,1179,18,80
Filip Zadina,22,DET,RW,74,10,14,24,-24,0.8,154,1049,34,57
Nikita Zadorov,26,CGY,D,74,4,18,22,11,4.1,106,1251,49,181
Nikita Zaitsev,30,OTT,D,62,2,9,11,-7,2.2,65,1177,103,128
Yegor Zamula,21,PHI,D,10,0,0,0,-6,-0.3,4,163,19,5
Jakub Zboril,24,BOS,D,10,0,3,3,1,0.5,13,157,10,24
Trevor Zegras,20,ANA,C,75,23,38,61,-21,5.4,181,1343,27,56
Fabian Zetterlund,22,NJD,W,14,3,5,8,5,0.9,36,187,7,16
Mika Zibanejad,28,NYR,C,81,29,52,81,30,9.2,219,1591,47,67
Radim Zohorna,25,PIT,F,17,2,4,6,12,0.9,9,176,3,23
Artem Zub,26,OTT,D,81,6,16,22,1,4.9,92,1704,124,155
Mats Zuccarello,34,MIN,LW,70,24,55,79,21,8,159,1301,33,36
Jason Zucker,30,PIT,LW,41,8,9,17,-2,1.3,102,608,20,66
