Player,Age,Team,Pos,GP,G,A,PTS,PlusMin,PS,S,TOI,BLK,HIT
Filip Hallander,21,PIT,C,1,0,0,0,0,0,0,6,0,0
Dougie Hamilton,28,NJD,D,62,9,21,30,-19,3.6,197,1316,92,87
Travis Hamonic,31,TOT,D,43,4,6,10,6,2.7,82,810,93,73
Noah Hanifin,25,CGY,D,81,10,38,48,27,8.7,189,1726,84,63
Joel Hanley,30,DAL,D,44,2,4,6,-13,0.6,18,525,43,60
Mike Hardman,22,CHI,RW,21,0,2,2,-6,-0.3,12,195,12,60
Jansen Harkins,24,WPG,C,77,7,6,13,-8,0.4,67,730,18,51
Thomas Harley,20,DAL,D,34,1,3,4,-4,0.9,36,465,30,30
Ben Harpur,27,NSH,D,19,0,1,1,-10,-0.4,13,261,21,36
Scott Harrington,28,CBJ,D,7,0,1,1,-4,-0.1,5,101,9,8
Jordan Harris,21,MTL,D,10,1,0,1,3,0.5,9,163,11,10
Ryan Hartman,27,MIN,RW,82,34,31,65,31,7.6,239,1491,48,72
Rafaël Harvey-Pinard,23,MTL,LW,4,1,0,1,-2,0,6,52,3,12
Santeri Hatakka,21,SJS,D,9,0,2,2,-5,0,3,114,7,5
Garnet Hathaway,30,WSH,RW,76,14,12,26,19,2.9,124,1018,62,250
Erik Haula,30,BOS,LW,78,18,26,44,19,4.9,141,1177,36,129
John Hayden,26,BUF,C,55,2,2,4,-12,-0.7,65,597,24,104
Kevin Hayes,29,PHI,RW,48,10,21,31,-20,2,126,860,12,36
Zack Hayes,22,VEG,D,3,0,0,0,-2,-0.1,1,33,1,12
Barrett Hayton,21,ARI,C,60,10,14,24,-8,1.4,82,967,33,84
Dillon Heatherington,26,OTT,D,9,0,0,0,-1,0.1,4,111,2,18
Victor Hedman,31,TBL,D,82,20,65,85,26,13.6,219,2056,129,93
Danton Heinen,26,PIT,C,76,18,15,33,6,3.5,138,966,33,66
Ville Heinola,20,WPG,D,12,0,5,5,-2,0.5,25,179,7,9
Miro Heiskanen,22,DAL,D,70,5,31,36,3,6.6,156,1742,92,52
Darren Helm,35,COL,C,68,7,8,15,-5,0.6,93,717,27,114
Adam Henrique,31,ANA,C,58,19,23,42,-2,4.4,141,1010,47,22
Aleksi Heponiemi,23,FLA,C,6,0,1,1,-6,-0.3,7,84,1,0
Tomas Hertl,28,SJS,C,82,30,34,64,-9,6.6,205,1635,57,105
Thomas Hickey,32,NYI,D,2,0,0,0,-3,-0.2,0,39,3,2
Matthew Highmore,25,VAN,LW,46,5,7,12,1,0.8,61,584,38,41
Cameron Hillis,21,MTL,C,1,0,0,0,0,0,2,10,0,0
Vinnie Hinostroza,27,BUF,C,62,13,12,25,-11,2.1,92,860,13,25
Roope Hintz,25,DAL,LW,80,37,35,72,15,8.9,213,1443,53,82
Taro Hirose,25,DET,LW,15,1,3,4,-5,0,10,160,2,9
Nico Hischier,23,NJD,C,70,21,39,60,-1,5.6,153,1354,48,50
Hayden Hodgson,25,PHI,RW,6,1,2,3,-1,0.2,10,79,2,12
Mike Hoffman,32,MTL,C,67,15,20,35,-24,2.2,154,1142,29,27
Gregory Hofmann,29,CBJ,C,24,2,5,7,6,0.6,33,300,10,23
Linus Hogberg,23,PHI,D,5,0,2,2,0,0.3,3,85,8,0
Nils Hoglander,21,VAN,LW,60,10,8,18,-6,1.3,132,785,16,41
Nick Holden,34,OTT,D,76,5,14,19,0,4.2,75,1509,112,115
Justin Holl,30,TOR,D,69,3,20,23,14,4.1,64,1394,104,129
Alexander Holtz,20,NJD,RW,9,0,2,2,-5,-0.2,12,110,2,5
Patric Hornqvist,35,FLA,RW,65,11,17,28,-5,1.8,165,824,23,112
Bo Horvat,26,VAN,C,70,31,21,52,3,6,194,1366,45,96
Brett Howden,23,VEG,C,47,9,11,20,9,2.3,39,501,36,62
Filip Hronek,24,DET,D,78,5,33,38,-29,3.7,133,1718,81,70
Jonathan Huberdeau,28,FLA,LW,80,30,85,115,35,11.9,222,1554,28,99
Jack Hughes,20,NJD,C,49,26,30,56,-16,5.8,165,959,15,6
Quinn Hughes,22,VAN,D,76,8,60,68,10,10.1,150,1919,56,19
Brad Hunt,33,VAN,D,50,3,14,17,-3,2.5,67,763,48,22
Dryden Hunt,26,NYR,LW,76,6,11,17,-10,0.4,94,934,17,153
Ben Hutton,28,VEG,D,58,3,10,13,7,2.7,78,897,72,49
Grant Hutton,26,NYI,D,16,1,0,1,-1,0.4,22,227,12,15
Zach Hyman,29,EDM,C,76,27,27,54,-9,4.8,213,1479,31,74
Alex Iafallo,28,LAK,C,79,17,20,37,4,3.3,215,1462,53,48
Bokondji Imama,25,ARI,LW,4,1,0,1,-2,0.1,3,18,0,10
Matt Irwin,34,WSH,D,17,1,3,4,0,0.7,29,215,21,36
Mark Jankowski,27,BUF,C,19,2,3,5,2,0.4,14,259,8,5
Mattias Janmark,29,VEG,C,67,9,16,25,3,1.8,89,961,28,19
Calle Jarnkrok,30,TOT,C,66,12,18,30,-14,1.9,101,1058,17,38
Christian Jaros,25,NJD,D,11,0,0,0,-4,-0.2,9,121,10,21
Seth Jarvis,19,CAR,C,68,17,23,40,11,4.3,110,944,21,69
Dmitrij Jaskin,28,ARI,RW,12,0,1,1,-6,-0.4,23,177,9,47
Tanner Jeannot,24,NSH,F,81,24,17,41,2,4.1,124,1295,64,318
Jan Jenik,21,ARI,RW,13,2,1,3,-6,0,22,139,4,25
Boone Jenner,28,CBJ,C,59,23,21,44,-11,3.9,160,1207,56,80
Nick Jensen,31,WSH,D,76,5,16,21,32,6,88,1470,92,135
Lucas Johansen,24,WSH,D,1,0,1,1,1,0.2,0,12,0,0
Ryan Johansen,29,NSH,C,79,26,37,63,-2,6.2,118,1309,35,72
Marcus Johansson,31,TOT,C,69,9,20,29,-26,1.1,111,1113,26,31
Erik Johnson,33,COL,D,77,8,17,25,22,5.3,139,1330,136,165
Jack Johnson,35,COL,D,74,1,8,9,5,1.9,57,1239,68,91
Kent Johnson,19,CBJ,C,9,0,3,3,2,0.2,5,112,1,4
Reese Johnson,23,CHI,F,37,1,5,6,-13,-0.4,24,393,14,141
Tyler Johnson,31,CHI,C,26,3,4,7,-8,0.2,30,337,7,37
Andreas Johnsson,27,NJD,LW,71,13,22,35,4,3.1,114,1020,22,64
Ross Johnston,27,NYI,LW,32,2,5,7,-3,0.3,9,329,16,90
Henri Jokiharju,22,BUF,D,60,3,16,19,-8,3.1,83,1313,60,73
Ben Jones,22,VEG,F,2,0,0,0,0,0,1,16,1,4
Caleb Jones,24,CHI,D,51,5,10,15,-3,2.9,57,853,58,77
Max Jones,23,ANA,LW,2,0,0,0,-1,-0.1,2,20,0,2
Seth Jones,27,CHI,D,78,5,46,51,-37,5.4,194,2045,155,99
Zachary Jones,21,NYR,D,12,0,2,2,-7,-0.1,8,182,13,4
Axel Jonsson Fjällby,23,WSH,LW,23,2,2,4,0,0.2,29,257,8,18
Mathieu Joseph,24,TOT,RW,69,12,18,30,12,2.8,86,980,27,106
Pierre-Olivier Joseph,22,PIT,D,4,0,0,0,-2,-0.1,7,73,4,6
Dakota Joshua,25,STL,C,30,3,5,8,6,0.8,31,255,10,77
Roman Josi,31,NSH,D,80,23,73,96,13,13.9,281,2044,133,66
Tyson Jost,23,TOT,C,80,8,12,20,2,0.7,97,1026,37,55
Olli Juolevi,23,TOT,D,18,0,0,0,-1,0,18,230,10,14
Noah Juulsen,24,VAN,D,8,0,2,2,-4,0,6,117,11,20
Nazem Kadri,31,COL,C,71,28,59,87,13,8.9,247,1366,19,52
Kaapo Kakko,20,NYR,RW,43,7,11,18,9,1.7,62,664,15,8
Arthur Kaliyev,20,LAK,RW,80,14,13,27,-3,2.4,194,1012,12,31
Wyatt Kalynuk,24,CHI,D,5,0,0,0,-3,-0.1,1,60,0,9
